State,ForeignQualification,RegisteredAgent,CPOM_FeeSplit_Status,TelehealthRegistration,PrivacyLaw_Notes,ProviderLicensingCoverage,OverallStatus,NextAction,NextActionDate,Notes
Alabama,not started,not started,TBD-counsel,TBD-counsel,,not started,not started,,,
Alaska,not started,not started,TBD-counsel,TBD-counsel,,not started,not started,,,
Arizona,not started,not started,TBD-counsel,TBD-counsel,,not started,not started,,,
Arkansas,not started,not started,TBD-counsel,TBD-counsel,,not started,not started,,,
California,not started,not started,TBD-counsel (strict CPOM — confirm),TBD-counsel,CCPA/CPRA,not started,not started,,,
Colorado,not started,not started,TBD-counsel,TBD-counsel,CPA,not started,not started,,,
Connecticut,not started,not started,TBD-counsel,TBD-counsel,CTDPA,not started,not started,,,
Delaware,not started,not started,TBD-counsel,TBD-counsel,,not started,not started,,,Likely US parent domicile — confirm with counsel
Florida,not started,not started,TBD-counsel,TBD-counsel,,not started,not started,,,
Georgia,not started,not started,TBD-counsel,TBD-counsel,,not started,not started,,,
Hawaii,not started,not started,TBD-counsel,TBD-counsel,,not started,not started,,,
Idaho,not started,not started,TBD-counsel,TBD-counsel,,not started,not started,,,
Illinois,not started,not started,TBD-counsel,TBD-counsel,,not started,not started,,,
Indiana,not started,not started,TBD-counsel,TBD-counsel,,not started,not started,,,
Iowa,not started,not started,TBD-counsel,TBD-counsel,,not started,not started,,,
Kansas,not started,not started,TBD-counsel,TBD-counsel,,not started,not started,,,
Kentucky,not started,not started,TBD-counsel,TBD-counsel,,not started,not started,,,
Louisiana,not started,not started,TBD-counsel,TBD-counsel,,not started,not started,,,
Maine,not started,not started,TBD-counsel,TBD-counsel,,not started,not started,,,
Maryland,not started,not started,TBD-counsel,TBD-counsel,,not started,not started,,,
Massachusetts,not started,not started,TBD-counsel,TBD-counsel,,not started,not started,,,
Michigan,not started,not started,TBD-counsel,TBD-counsel,,not started,not started,,,
Minnesota,not started,not started,TBD-counsel,TBD-counsel,,not started,not started,,,
Mississippi,not started,not started,TBD-counsel,TBD-counsel,,not started,not started,,,
Missouri,not started,not started,TBD-counsel,TBD-counsel,,not started,not started,,,
Montana,not started,not started,TBD-counsel,TBD-counsel,,not started,not started,,,
Nebraska,not started,not started,TBD-counsel,TBD-counsel,,not started,not started,,,
Nevada,not started,not started,TBD-counsel,TBD-counsel,SB370 health-data,not started,not started,,,
New Hampshire,not started,not started,TBD-counsel,TBD-counsel,,not started,not started,,,
New Jersey,not started,not started,TBD-counsel (strict CPOM — confirm),TBD-counsel,,not started,not started,,,
New Mexico,not started,not started,TBD-counsel,TBD-counsel,,not started,not started,,,
New York,not started,not started,TBD-counsel (strict CPOM — confirm),TBD-counsel,,not started,not started,,,
North Carolina,not started,not started,TBD-counsel,TBD-counsel,,not started,not started,,,
North Dakota,not started,not started,TBD-counsel,TBD-counsel,,not started,not started,,,
Ohio,not started,not started,TBD-counsel,TBD-counsel,,not started,not started,,,
Oklahoma,not started,not started,TBD-counsel,TBD-counsel,,not started,not started,,,
Oregon,not started,not started,TBD-counsel,TBD-counsel,,not started,not started,,,
Pennsylvania,not started,not started,TBD-counsel,TBD-counsel,,not started,not started,,,
Rhode Island,not started,not started,TBD-counsel,TBD-counsel,,not started,not started,,,
South Carolina,not started,not started,TBD-counsel,TBD-counsel,,not started,not started,,,
South Dakota,not started,not started,TBD-counsel,TBD-counsel,,not started,not started,,,
Tennessee,not started,not started,TBD-counsel,TBD-counsel,,not started,not started,,,
Texas,not started,not started,TBD-counsel (strict CPOM — confirm),TBD-counsel,,not started,not started,,,
Utah,not started,not started,TBD-counsel,TBD-counsel,,not started,not started,,,
Vermont,not started,not started,TBD-counsel,TBD-counsel,,not started,not started,,,
Virginia,not started,not started,TBD-counsel,TBD-counsel,VCDPA,not started,not started,,,
Washington,not started,not started,TBD-counsel,TBD-counsel,My Health My Data Act,not started,not started,,,
West Virginia,not started,not started,TBD-counsel,TBD-counsel,,not started,not started,,,
Wisconsin,not started,not started,TBD-counsel,TBD-counsel,,not started,not started,,,
Wyoming,not started,not started,TBD-counsel,TBD-counsel,,not started,not started,,,
District of Columbia,not started,not started,TBD-counsel,TBD-counsel,,not started,not started,,,
